span_id,text,scope.actor,scope.domain,scope.context,hazard,requirement,exceptions,conditions,is_testable,evidence_signals,evidence,rule_id
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0013,"A human rights impact assessment
can be conducted to determine whether an LMM or an application adheres to such
commitments and can therefore be used safely. The WHO guidance on the ethics and governance of AI for health (1) recommended that
""governments should enact laws and policies that require government agencies and
companies to conduct impact assessments of AI technologies, which should address ethics,
human rights, safety and data protection, throughout the life cycle of an AI system"". The
guidance also noted that ""impact assessments should be audited by an independent third
party before and after introduction of an AI technology and published"" (1). The results of
impact assessments should be disclosed publicly, while accounting for proprietary or sensitive
information, and should be available to the public and groups that may be affected.",org,null,regulated; public,Lack of public transparency on AI impact,The org shall publicly disclose the results of impact assessments and make them available to the public and groups that may be affected.,while accounting for proprietary or sensitive information,null,TRUE,attest_check,impact assessment results,3
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0015,"49
5   Provision with general-purpose foundation models (LMMs)
Impact assessments can reveal, for example, whether an AI technology might introduce
system-wide bias, risk the privacy of users who share personal data or lead to manipulation
of a user. Risks to privacy should be addressed by collaboration between providers and
developers in developing LMMs that preserve individual privacy. Work on such an LMM
is under way by one company and a hospital system in the USA, although the project is
considered unlikely to succeed because the data cannot be fully de-identified (154). Impact
assessments can also ensure that use of a general-purpose foundation model or application
maintains humans in the loop to avoid automated decision-making in which a user receives
false information or misinformation or a health-care provider or patient relies uncritically on
the output of an LMM, which would be a form of automation bias.",provider; developer,null,dev,user privacy violation,Providers and developers must collaborate to address privacy risks when developing LMMs that preserve individual privacy.,null,when developing LMMs,TRUE,attest_check; repo_check,null,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0015,"49
5   Provision with general-purpose foundation models (LMMs)
Impact assessments can reveal, for example, whether an AI technology might introduce
system-wide bias, risk the privacy of users who share personal data or lead to manipulation
of a user. Risks to privacy should be addressed by collaboration between providers and
developers in developing LMMs that preserve individual privacy. Work on such an LMM
is under way by one company and a hospital system in the USA, although the project is
considered unlikely to succeed because the data cannot be fully de-identified (154). Impact
assessments can also ensure that use of a general-purpose foundation model or application
maintains humans in the loop to avoid automated decision-making in which a user receives
false information or misinformation or a health-care provider or patient relies uncritically on
the output of an LMM, which would be a form of automation bias.",deployer,null,prod; inference,automation bias,A deployer must maintain humans in the loop when using a general-purpose foundation model or application to avoid automation bias in decision-making.,null,when using a general-purpose foundation model or application for automated decision-making,TRUE,log_check; config_check; attest_check,Impact assessment,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0018,"This concern
has gained the attention of competition authorities, which have found that first-movers may
use ""unfair methods of competition to entrench their current power or use that power to
gain control over a new generative AI market"" (141). Competition authorities are expected
to exercise greater scrutiny of the use of LMMs, although they focus on the practices used by
companies that develop LMMs (156). Providers should also be subject to AI regulatory assessments, as their use of an LMM may
change its purpose and function from those determined by the developer but is controlled by
the provider. Thus, if a general-purpose foundation model is adapted for use in health care or
medicine by a provider, to which the developer agrees, both the developer and the provider",provider,null,high-risk; regulated,unassessed risk from model repurposing,A provider must be subject to AI regulatory assessments when their use of a large language model (LMM) changes its purpose and function from those determined by the developer.,null,when a provider's use of an LMM changes its purpose and function from those determined by the developer,TRUE,attest_check,AI regulatory assessment,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0021,"The WHO guidance
on the ethics and governance of AI for health (1) recommended that: ""government regulators
should require that an AI system's performance be tested, and sound evidence obtained from
prospective testing in randomized trials and not merely from comparison of the system to
existing datasets in a laboratory"". If an LMM or application is to be regulated as a medical device, the developer and/or provider
should bear the burden of proof by providing evidence that the device performs as marketed
and that it meets the requirements of current or amended national laws. This may include
various requirements, such as adhering to ethical obligations related to bias and privacy. Newly proposed regulations on AI technologies for medical devices in the European Union and
the USA will probably integrate ethical principles related to the use of AI in health, including
""explainability"", control of bias and transparency.",developer; provider,null,regulated; high-risk,ineffective or unsafe medical device performance,The developer or provider must provide evidence that the device performs as marketed.,null,if an LMM or application is regulated as a medical device,TRUE,attest_check,performance evidence,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0021,"The WHO guidance
on the ethics and governance of AI for health (1) recommended that: ""government regulators
should require that an AI system's performance be tested, and sound evidence obtained from
prospective testing in randomized trials and not merely from comparison of the system to
existing datasets in a laboratory"". If an LMM or application is to be regulated as a medical device, the developer and/or provider
should bear the burden of proof by providing evidence that the device performs as marketed
and that it meets the requirements of current or amended national laws. This may include
various requirements, such as adhering to ethical obligations related to bias and privacy. Newly proposed regulations on AI technologies for medical devices in the European Union and
the USA will probably integrate ethical principles related to the use of AI in health, including
""explainability"", control of bias and transparency.",developer; provider,null,regulated; high-risk,non-compliance with medical device laws,The developer or provider must provide evidence that the device meets the requirements of current or amended national laws.,null,if an LMM or application is regulated as a medical device,TRUE,attest_check,legal compliance evidence,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0022,"It is unlikely that current chatbots that
include LMMs could meet such standards (158). LMMs for clinical decision support are already being used experimentally. Although
these LMMs include disclaimers, they do not obviate application of medical device laws,
""which dictate that such experiments should take place only in an authorized clinical trial
setting under appropriate controls to protect patients and to produce clinically relevant
outcomes"" (158). Governments could examine controlled experimental uses of such LMMs
in regulatory ""sandboxes"", which would allow testing in a live environment in actual clinical
settings with safeguards and oversight to protect health systems from risks or unintended
consequences.",org,null,eval; research; regulated,patient harm from unregulated experiments,The org shall only conduct experiments with LMMs for clinical decision support within an authorized clinical trial setting.,null,when using LMMs for clinical decision support experimentally,TRUE,attest_check,null,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0024,"51
5   Provision with general-purpose foundation models (LMMs)
would be tantamount to manipulation (159). In the USA, several government departments
and agencies are applying consumer protection laws and other regulations to prevent
discrimination and bias in automated systems (159). Such laws can enable governments to
require entities that seek to commercialize such technologies to address the causes of any
negative consequences and to protect patients and their families from any current or future
harm (93). Consumer protection laws, or other regulations, could be used to require that LMMs
and applications are restricted in use of language that could misdirect or mislead an end-user
into ascribing human-like qualities to an LMM.",entity,null,prod; regulated,discrimination and bias in automated systems,"The entity must address the causes of any negative consequences, such as discrimination and bias, from its automated systems.",null,when commercializing technologies,FALSE,null,null,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0024,"51
5   Provision with general-purpose foundation models (LMMs)
would be tantamount to manipulation (159). In the USA, several government departments
and agencies are applying consumer protection laws and other regulations to prevent
discrimination and bias in automated systems (159). Such laws can enable governments to
require entities that seek to commercialize such technologies to address the causes of any
negative consequences and to protect patients and their families from any current or future
harm (93). Consumer protection laws, or other regulations, could be used to require that LMMs
and applications are restricted in use of language that could misdirect or mislead an end-user
into ascribing human-like qualities to an LMM.",entity,null,prod; regulated,patient harm,The entity must protect patients and their families from any current or future harm from its technologies.,null,when commercializing technologies,FALSE,null,null,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0025,"Such laws could therefore restrict use of or
prevent LMMs or applications from using words such as ""I think"", ""I suppose"" or ""I suggest"". Recommendations:
• Governments should, as resources permit, assign an existing or new regulatory
agency to assess and approve LMMs and applications intended for use in health care
or medicine.
• Certain aspects of an LMM and its applications should be transparent to allow
oversight and assessment of its safety and efficacy by regulators. This may include
the source code, data inputs, model weights and analytical approach. Additional
forms of disclosure to be considered by a government are the performance of an LMM
or application in internal testing and its carbon and water footprints.
• Governments should ensure that data protection rules apply to data entered into an
LMM or application by a user.
• Government laws, policies and regulations should ensure that LMMs and applications
used in health care and medicine, irrespective of the risk or benefit associated with
the AI technology, meet ethical obligations and human rights standards that affect,
for example, a person's dignity, autonomy or privacy.
• Governments should enact laws and policies that require providers and developers to
conduct impact assessments of LMMs and applications, which should address ethics,
human rights, safety and data protection, throughout the life cycle of an AI system.",developer,null,regulated,Impaired safety and efficacy oversight,"A developer shall make the source code, data inputs, model weights, and analytical approach of an LMM and its applications transparent to regulators.",null,for regulatory oversight and assessment,TRUE,repo_check; data_check; attest_check,source code; data inputs documentation; model weights file; analytical approach documentation,1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0025,"Such laws could therefore restrict use of or
prevent LMMs or applications from using words such as ""I think"", ""I suppose"" or ""I suggest"". Recommendations:
• Governments should, as resources permit, assign an existing or new regulatory
agency to assess and approve LMMs and applications intended for use in health care
or medicine.
• Certain aspects of an LMM and its applications should be transparent to allow
oversight and assessment of its safety and efficacy by regulators. This may include
the source code, data inputs, model weights and analytical approach. Additional
forms of disclosure to be considered by a government are the performance of an LMM
or application in internal testing and its carbon and water footprints.
• Governments should ensure that data protection rules apply to data entered into an
LMM or application by a user.
• Government laws, policies and regulations should ensure that LMMs and applications
used in health care and medicine, irrespective of the risk or benefit associated with
the AI technology, meet ethical obligations and human rights standards that affect,
for example, a person's dignity, autonomy or privacy.
• Governments should enact laws and policies that require providers and developers to
conduct impact assessments of LMMs and applications, which should address ethics,
human rights, safety and data protection, throughout the life cycle of an AI system.",provider; developer,null,null,Unaddressed safety and data protection risks,"Providers and developers shall conduct impact assessments of LMMs and applications, addressing ethics, human rights, safety, and data protection.",null,throughout the life cycle of an AI system,TRUE,attest_check,impact assessment,2
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0025,"Such laws could therefore restrict use of or
prevent LMMs or applications from using words such as ""I think"", ""I suppose"" or ""I suggest"". Recommendations:
• Governments should, as resources permit, assign an existing or new regulatory
agency to assess and approve LMMs and applications intended for use in health care
or medicine.
• Certain aspects of an LMM and its applications should be transparent to allow
oversight and assessment of its safety and efficacy by regulators. This may include
the source code, data inputs, model weights and analytical approach. Additional
forms of disclosure to be considered by a government are the performance of an LMM
or application in internal testing and its carbon and water footprints.
• Governments should ensure that data protection rules apply to data entered into an
LMM or application by a user.
• Government laws, policies and regulations should ensure that LMMs and applications
used in health care and medicine, irrespective of the risk or benefit associated with
the AI technology, meet ethical obligations and human rights standards that affect,
for example, a person's dignity, autonomy or privacy.
• Governments should enact laws and policies that require providers and developers to
conduct impact assessments of LMMs and applications, which should address ethics,
human rights, safety and data protection, throughout the life cycle of an AI system.",org,null,eval; research; regulated,generation of clinically irrelevant outcomes,The org shall implement appropriate controls to produce clinically relevant outcomes during experimental use of LMMs for clinical decision support.,null,when using LMMs for clinical decision support experimentally,TRUE,attest_check,null,3
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0026,"The impact assessments should be audited by an independent third party before and
after introduction of an AI technology and should be in the public domain.
• The regulatory burden on a provider should increase if the product or application
substantially diverges from or changes the foundation model in ways that are out of
the control of the developer of the model.
• Governments should ensure that, for an LMM or application that is regulated as a
medical device, the developer and/or provider is responsible for the burden of proof",org; provider,null,staging,Unverified risk assessment prior to deployment,The org shall have impact assessments audited by an independent third party before the introduction of an AI technology.,null,before introduction of an AI technology,TRUE,attest_check,impact assessment (audit report),1
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0026,"The impact assessments should be audited by an independent third party before and
after introduction of an AI technology and should be in the public domain.
• The regulatory burden on a provider should increase if the product or application
substantially diverges from or changes the foundation model in ways that are out of
the control of the developer of the model.
• Governments should ensure that, for an LMM or application that is regulated as a
medical device, the developer and/or provider is responsible for the burden of proof",org; provider,null,prod,Outdated risk assessment post-deployment,The org shall have impact assessments audited by an independent third party after the introduction of an AI technology.,null,after introduction of an AI technology,TRUE,attest_check,impact assessment (audit report),2
