span_id,text,scope.actor,scope.domain,scope.context,hazard,requirement,exceptions,conditions,is_testable,evidence_signals,evidence,rule_id
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,"Tags: Impact Assessment. A2.2 Answer prompts in the Impact Assessment template to determine whether the system meets the definition of
a Sensitive Use. If it does, report it to the Office of Responsible AI, and follow any additional requirements resulting
from a Sensitive Uses review. Tags: Impact Assessment.",org,,regulated,non-compliance with required safeguards,The org must follow any additional requirements for a system resulting from a Sensitive Uses review.,,after a Sensitive Uses review,TRUE,attest_check,Sensitive Uses review requirements,3
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,"A2.3 Review your systems at least annually against the definitions for Sensitive Uses and Restricted Uses. If there
are systems that meet the criteria for Sensitive Uses, report them to the Office of Responsible AI. If there are
systems that meet the criteria for Restricted Uses, notify the Office of Responsible AI.",org,,regulated,failure to identify high-risk systems,The org must review its systems at least annually against the definitions for Sensitive Uses and Restricted Uses.,,at least annually,TRUE,attest_check,,1
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,"A2.3 Review your systems at least annually against the definitions for Sensitive Uses and Restricted Uses. If there
are systems that meet the criteria for Sensitive Uses, report them to the Office of Responsible AI. If there are
systems that meet the criteria for Restricted Uses, notify the Office of Responsible AI.",org,,regulated,unreported deployment of sensitive systems,The org must report systems that meet the criteria for Sensitive Uses to the Office of Responsible AI.,,system meets criteria for Sensitive Uses,TRUE,attest_check,,2
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,"A2.3 Review your systems at least annually against the definitions for Sensitive Uses and Restricted Uses. If there
are systems that meet the criteria for Sensitive Uses, report them to the Office of Responsible AI. If there are
systems that meet the criteria for Restricted Uses, notify the Office of Responsible AI.",org,,regulated,unreported deployment of restricted systems,The org must notify the Office of Responsible AI if systems meet the criteria for Restricted Uses.,,system meets criteria for Restricted Uses,TRUE,attest_check,,3
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,"Microsoft Responsible AI Standard v2
6
Goal A3: Fit for purpose
Microsoft AI systems are fit for purpose in the sense that they provide valid solutions for the problems they are
designed to solve. Applies to: All AI systems. Requirements
A3.1 Document in the Impact Assessment how the system's use will solve the problem posed by each intended use,
recognizing that there may be multiple valid ways in which to solve the problem. Tags: Impact Assessment.",org,,,mismatched solution to problem,The org shall document in the Impact Assessment how the system's use will solve the problem posed by each intended use.,,,TRUE,attest_check,Impact Assessment,1
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,"A3.2 Define and document for each model in the AI system:
1) the model's proposed inputs and how well they represent the concepts they are intended to represent; include
analysis of the limitations of this representation,
2) the model's proposed output and how well it represents the concept it is intended to represent; include analysis
of the limitations of this representation, and
3) limitations to the generalizability of the resulting model based on the training and testing data that will be used. A3.3 Define and document Responsible Release Criteria for this Goal. Include:
1) a concise definition of the problem being solved in the intended use,
2) performance metrics and their Responsible Release Criteria, and
3) error types and their Responsible Release Criteria. A3.4 Document an evaluation plan for each of the performance metrics and error types.",org,,dev; eval,inappropriate model application,"The org must define and document each model's proposed inputs, how well they represent intended concepts, and the limitations of this representation.",,for each model in the AI system,TRUE,repo_check,model documentation,1
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,"A3.2 Define and document for each model in the AI system:
1) the model's proposed inputs and how well they represent the concepts they are intended to represent; include
analysis of the limitations of this representation,
2) the model's proposed output and how well it represents the concept it is intended to represent; include analysis
of the limitations of this representation, and
3) limitations to the generalizability of the resulting model based on the training and testing data that will be used. A3.3 Define and document Responsible Release Criteria for this Goal. Include:
1) a concise definition of the problem being solved in the intended use,
2) performance metrics and their Responsible Release Criteria, and
3) error types and their Responsible Release Criteria. A3.4 Document an evaluation plan for each of the performance metrics and error types.",org,,dev; eval,inappropriate model application,"The org must define and document each model's proposed output, how well it represents the intended concept, and the limitations of this representation.",,for each model in the AI system,TRUE,repo_check,model documentation,2
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,"A3.2 Define and document for each model in the AI system:
1) the model's proposed inputs and how well they represent the concepts they are intended to represent; include
analysis of the limitations of this representation,
2) the model's proposed output and how well it represents the concept it is intended to represent; include analysis
of the limitations of this representation, and
3) limitations to the generalizability of the resulting model based on the training and testing data that will be used. A3.3 Define and document Responsible Release Criteria for this Goal. Include:
1) a concise definition of the problem being solved in the intended use,
2) performance metrics and their Responsible Release Criteria, and
3) error types and their Responsible Release Criteria. A3.4 Document an evaluation plan for each of the performance metrics and error types.",org,,dev; eval; training,overgeneralization failure,The org must document the limitations to the generalizability of the resulting model based on the training and testing data that will be used.,,for each model in the AI system,TRUE,repo_check; data_check,model documentation,3
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,"A3.2 Define and document for each model in the AI system:
1) the model's proposed inputs and how well they represent the concepts they are intended to represent; include
analysis of the limitations of this representation,
2) the model's proposed output and how well it represents the concept it is intended to represent; include analysis
of the limitations of this representation, and
3) limitations to the generalizability of the resulting model based on the training and testing data that will be used. A3.3 Define and document Responsible Release Criteria for this Goal. Include:
1) a concise definition of the problem being solved in the intended use,
2) performance metrics and their Responsible Release Criteria, and
3) error types and their Responsible Release Criteria. A3.4 Document an evaluation plan for each of the performance metrics and error types.",org,,dev; eval,unsafe system deployment,"The org must define and document Responsible Release Criteria, including a concise problem definition, performance metrics with their criteria, and error types with their criteria.",,,TRUE,repo_check; attest_check,Responsible Release Criteria document,4
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,"A3.2 Define and document for each model in the AI system:
1) the model's proposed inputs and how well they represent the concepts they are intended to represent; include
analysis of the limitations of this representation,
2) the model's proposed output and how well it represents the concept it is intended to represent; include analysis
of the limitations of this representation, and
3) limitations to the generalizability of the resulting model based on the training and testing data that will be used. A3.3 Define and document Responsible Release Criteria for this Goal. Include:
1) a concise definition of the problem being solved in the intended use,
2) performance metrics and their Responsible Release Criteria, and
3) error types and their Responsible Release Criteria. A3.4 Document an evaluation plan for each of the performance metrics and error types.",org,,eval; qa,inadequate system evaluation,The org must document an evaluation plan for each of the defined performance metrics and error types.,,for each performance metric and error type,TRUE,repo_check; attest_check,evaluation plan,5
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,"Tags: Ongoing Evaluation Checkpoint. A3.5 Use the methods defined in requirement A3.4 to conduct evaluations. Document the pre-release results of the
evaluations. Determine and document how often ongoing evaluation should be conducted to continue supporting this
Goal.",evaluator,,eval,Inadequate model evaluation,The evaluator must conduct evaluations using the methods defined in requirement A3.4.,,,TRUE,log_check; attest_check,,1
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,,org,,eval; dev,Uninformed release decisions,The org must document the results of pre-release evaluations.,,pre-release,TRUE,repo_check; attest_check,evaluation results documentation,2
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,,org,,eval,Stale model evaluations due to undefined monitoring schedule,The org must determine and document the required frequency for ongoing evaluations.,,,TRUE,repo_check; attest_check,ongoing evaluation plan,3
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,"Tags: Ongoing Evaluation Checkpoint. A3.6 Provide documentation to customers which describes the system's:
1) intended uses, and
2) evidence that the system is fit for purpose for each intended use. When the system is a platform service made available to external customers or partners, include this information in the
required Transparency Note. Tags: Transparency Note.",org,,public,Customer misunderstanding of system capabilities,The org must provide documentation to customers describing the system's intended uses and evidence that the system is fit for purpose for each intended use.,,,TRUE,repo_check,customer documentation,1
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,"Tags: Ongoing Evaluation Checkpoint. A3.6 Provide documentation to customers which describes the system's:
1) intended uses, and
2) evidence that the system is fit for purpose for each intended use. When the system is a platform service made available to external customers or partners, include this information in the
required Transparency Note. Tags: Transparency Note.",org,,public,Lack of transparency for platform users,The org must include information on intended uses and fitness for purpose in the required Transparency Note when the system is a platform service for external customers or partners.,,system is a platform service for external customers or partners,TRUE,repo_check,Transparency Note,2
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,"A3.7 If an intended use is not supported by evidence, or if evidence comes to light that refutes that the system is fit for
purpose for the intended use at any point in the system's use:
1) remove the intended use from customer-facing materials and make current customers aware of the issue, take
action to close the identified gap, or discontinue the system,
2) revise documentation related to the intended use, and
3) publish the revised documentation to customers. When the system is a platform service made available to external customers or partners, include this information in the
required Transparency Note.",org,,public,misleading claims about system capabilities,"The org must remove an unsupported intended use from customer-facing materials and make current customers aware of the issue, unless it takes action to close the evidence gap or discontinues the system.",,an intended use is not supported by evidence; evidence refutes the system is fit for an intended use,TRUE,io_check; attest_check,customer-facing materials; customer notification records,1
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,"A3.7 If an intended use is not supported by evidence, or if evidence comes to light that refutes that the system is fit for
purpose for the intended use at any point in the system's use:
1) remove the intended use from customer-facing materials and make current customers aware of the issue, take
action to close the identified gap, or discontinue the system,
2) revise documentation related to the intended use, and
3) publish the revised documentation to customers. When the system is a platform service made available to external customers or partners, include this information in the
required Transparency Note.",org,,public,outdated system documentation,The org must revise documentation related to an intended use if it is found to be unsupported by evidence.,,an intended use is not supported by evidence; evidence refutes the system is fit for an intended use,TRUE,repo_check; attest_check,revised documentation,2
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,"A3.7 If an intended use is not supported by evidence, or if evidence comes to light that refutes that the system is fit for
purpose for the intended use at any point in the system's use:
1) remove the intended use from customer-facing materials and make current customers aware of the issue, take
action to close the identified gap, or discontinue the system,
2) revise documentation related to the intended use, and
3) publish the revised documentation to customers. When the system is a platform service made available to external customers or partners, include this information in the
required Transparency Note.",org,,public,lack of transparency about system limitations,The org must publish the revised documentation to customers.,,documentation related to an unsupported intended use has been revised,TRUE,io_check; ci_gate,published documentation,3
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,"A3.7 If an intended use is not supported by evidence, or if evidence comes to light that refutes that the system is fit for
purpose for the intended use at any point in the system's use:
1) remove the intended use from customer-facing materials and make current customers aware of the issue, take
action to close the identified gap, or discontinue the system,
2) revise documentation related to the intended use, and
3) publish the revised documentation to customers. When the system is a platform service made available to external customers or partners, include this information in the
required Transparency Note.",org,,public,lack of transparency about system limitations,The org must include information about an unsupported intended use in the required Transparency Note.,,the system is a platform service; an intended use is unsupported by evidence,TRUE,repo_check; io_check,Transparency Note,4
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,"Microsoft Responsible AI Standard v2
7
Goal A4: Data governance and management
Microsoft AI systems are subject to appropriate data governance and management practices. Applies to: All AI systems. Requirements
A4.1 Define and document data requirements with respect to the system's intended uses, stakeholders, and the
geographic areas where the system will be deployed. Document these requirements in the Impact Assessment.",org,,dev,System failure from mismatched data,"The org must define and document data requirements in the Impact Assessment, considering the system's intended uses, stakeholders, and geographic deployment areas.",,,TRUE,attest_check,Impact Assessment,1
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,"Tags: Impact Assessment. A4.2 Define and document procedures for the collection and processing of data, to include annotation, labelling,
cleaning, enrichment, and aggregation, where relevant. A4.3 If you plan to use existing data sets to train the system, assess the quantity and suitability of available data
sets that will be needed by the system in relation to the data requirements defined in A4.1. Document this
assessment in the Impact Assessment.",org,,dev,Use of low-quality or inappropriate data,"The org must define and document procedures for the collection and processing of data, including annotation, labelling, cleaning, enrichment, and aggregation.",,,TRUE,repo_check; attest_check,Data processing procedures,1
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,,developer,,training,Model underperformance due to unsuitable training data,The developer must assess the quantity and suitability of available data sets needed by the system.,,When using existing data sets to train the system,TRUE,attest_check; repo_check,Data set suitability assessment,2
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,,org,,training,Lack of transparency in data sourcing,The org must document the data set quantity and suitability assessment in the Impact Assessment.,,When using existing data sets to train the system,TRUE,repo_check; attest_check,Impact Assessment,3
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0003,"Tags: Impact Assessment. A4.4 Define and document methods for evaluating data to be used by the system against the requirements
defined in A4.1. A4.5 Evaluate all data sets using the methods defined in requirement A4.4. Document the results of the evaluation.",developer,,dev; eval,use of unsuitable training data,The developer shall define and document methods for evaluating data to be used by the system against defined requirements.,,,TRUE,repo_check; attest_check,data evaluation methods documentation,1
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0003,"Tags: Impact Assessment. A4.4 Define and document methods for evaluating data to be used by the system against the requirements
defined in A4.1. A4.5 Evaluate all data sets using the methods defined in requirement A4.4. Document the results of the evaluation.",developer,,eval; training,biased or low-quality data usage,The developer shall evaluate all data sets using the defined methods.,,using methods defined in requirement A4.4,TRUE,log_check; repo_check; attest_check,data set evaluation results,2
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,"Microsoft Responsible AI Standard v2
8
Goal A5: Human oversight and control
Microsoft AI systems include capabilities that support informed human oversight and control. Applies to: All AI systems. Requirements
A5.1 Identify the stakeholders who are responsible for troubleshooting, managing, operating, overseeing, and
controlling the system during and after deployment. Document these stakeholders and their oversight and control
responsibilities using the Impact Assessment template.",org,,prod,lack of operational accountability,"The org must identify stakeholders responsible for troubleshooting, managing, operating, overseeing, and controlling the system.",,during and after deployment,TRUE,attest_check,Impact Assessment,1
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,"Microsoft Responsible AI Standard v2
8
Goal A5: Human oversight and control
Microsoft AI systems include capabilities that support informed human oversight and control. Applies to: All AI systems. Requirements
A5.1 Identify the stakeholders who are responsible for troubleshooting, managing, operating, overseeing, and
controlling the system during and after deployment. Document these stakeholders and their oversight and control
responsibilities using the Impact Assessment template.",org,,prod,unclear system oversight roles,The org must document identified stakeholders and their oversight and control responsibilities using the Impact Assessment template.,,,TRUE,attest_check,Impact Assessment,2
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002,"Tags: Impact Assessment. A5.2 Identify the system elements (including system UX, features, alerting and reporting functions, and
educational materials) necessary for stakeholders identified in requirement A5.1 to effectively understand their
oversight responsibilities and carry them out. Stakeholders must be able to understand:
1) the system's intended uses,
2) how to effectively execute interactions with the system,
3) how to interpret system behavior,
4) when and how to override, intervene, or interrupt the system, and
5) how to remain aware of the possible tendency of over-relying on outputs produced by the system
(""automation bias""). Document the system design elements that will support relevant stakeholders for each oversight and control
function.",org,,dev,ineffective user oversight,"The org shall identify system elements, including UX, features, alerting, reporting functions, and educational materials, that enable stakeholders to understand the system's intended uses, interactions, behavior, override procedures, and the risk of automation bias.",,during impact assessment,TRUE,repo_check; attest_check,Impact assessment documentation; Educational materials,1
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002,,org,,dev,ineffective user oversight,The org shall document the system design elements that support relevant stakeholders for each oversight and control function.,,during impact assessment,FALSE,repo_check; attest_check,System design documentation; Impact assessment report,2
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,"A5.3 When possible, design the system elements identified in A5.2. When this is not possible (for example, when
Microsoft is not responsible for the system UX), provide guidance on human oversight considerations to the third
party responsible for implementing the system elements identified in A5.2. A5.4 Define and document the method to be used to evaluate whether each oversight or control function can be
accomplished by stakeholders in realistic conditions of system use. Include the metrics or rubrics that will be used
in the evaluations.",developer,,dev,lack of human oversight,The developer shall design system elements to support human oversight.,,when possible; for system elements identified in A5.2,TRUE,repo_check,,1
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,,org,,prod,ineffective human oversight,The org shall provide guidance on human oversight considerations to the third party responsible for implementing the system elements.,,when direct design of system elements is not possible; for system elements identified in A5.2,TRUE,repo_check,guidance on human oversight,2
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,,org,,eval,ineffective human oversight,The org shall define and document the method to evaluate whether each oversight or control function can be accomplished by stakeholders in realistic conditions of system use.,,,TRUE,repo_check,evaluation method documentation,3
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,,org,,eval,unvalidated control functions,The org shall include the metrics or rubrics that will be used in the evaluations in the documented evaluation method.,,,TRUE,repo_check,evaluation method documentation (metrics/rubrics),4
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,"When this is not possible (for example, when Microsoft is not responsible for oversight and
control functions), provide guidance on evaluating oversight and control functions to the third party responsible
for evaluating oversight or control functions. A5.5 Define and document Responsible Release Criteria to achieve this Goal. A5.6 Conduct evaluations defined by requirement A5.4 using a near-release version of the system. Document the
results.",org; provider,,,third-party operational risk,The org shall provide guidance on evaluating oversight and control functions to the third party responsible for these functions.,,when the org is not responsible for oversight and control functions,TRUE,repo_check; attest_check,guidance documentation,1
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,,org,,dev; ci,unsafe system release,The org shall define and document Responsible Release Criteria.,,,TRUE,repo_check; attest_check,Responsible Release Criteria document,2
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,,evaluator,,eval; qa; staging,inaccurate pre-release risk assessment,The evaluator shall conduct evaluations using a near-release version of the system.,,,TRUE,attest_check; log_check,,3
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005,"A5.7 If there are Responsible Release Criteria for metrics or rubrics that have not been met, consult with the
reviewers named in the Impact Assessment, and in the case of Sensitive Uses, with the Office of Responsible AI, to
develop a plan detailing how the gap will be managed until it can be closed. Document that plan. Tools and practices
Recommendation A5.3.1 Follow the Guidelines for Human-AI Interaction when designing the system.",org,,,unmanaged release risk,The org must consult with reviewers named in the Impact Assessment to develop a plan for managing how the gap will be managed until it can be closed.,,Responsible Release Criteria for metrics or rubrics have not been met,TRUE,attest_check; repo_check,Impact Assessment; Gap management plan,1
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005,"A5.7 If there are Responsible Release Criteria for metrics or rubrics that have not been met, consult with the
reviewers named in the Impact Assessment, and in the case of Sensitive Uses, with the Office of Responsible AI, to
develop a plan detailing how the gap will be managed until it can be closed. Document that plan. Tools and practices
Recommendation A5.3.1 Follow the Guidelines for Human-AI Interaction when designing the system.",org,,high-risk,unmanaged risk for sensitive applications,The org must consult with the Office of Responsible AI to develop a plan for managing how the gap will be managed until it can be closed.,,Responsible Release Criteria have not been met; in the case of Sensitive Uses,TRUE,attest_check; repo_check,Gap management plan,2
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005,"A5.7 If there are Responsible Release Criteria for metrics or rubrics that have not been met, consult with the
reviewers named in the Impact Assessment, and in the case of Sensitive Uses, with the Office of Responsible AI, to
develop a plan detailing how the gap will be managed until it can be closed. Document that plan. Tools and practices
Recommendation A5.3.1 Follow the Guidelines for Human-AI Interaction when designing the system.",org,,,untracked risk mitigation,The org must document the plan for managing how a gap in Responsible Release Criteria will be managed.,,after a plan is developed to manage unmet Responsible Release Criteria,TRUE,repo_check; attest_check,Gap management plan,3
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005,"A5.7 If there are Responsible Release Criteria for metrics or rubrics that have not been met, consult with the
reviewers named in the Impact Assessment, and in the case of Sensitive Uses, with the Office of Responsible AI, to
develop a plan detailing how the gap will be managed until it can be closed. Document that plan. Tools and practices
Recommendation A5.3.1 Follow the Guidelines for Human-AI Interaction when designing the system.",developer,,dev,poor human-AI interaction,The developer must follow the Guidelines for Human-AI Interaction when designing the system.,,when designing the system,TRUE,repo_check; attest_check; io_check,,4
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001,"Microsoft Responsible AI Standard v2
9
Transparency Goals
Goal T1: System intelligibility for decision making
Microsoft AI systems that inform decision making by or about people are designed to support stakeholder needs for
intelligibility of system behavior. Applies to: All AI systems when the intended use of the generated outputs is to inform decision making by or
about people. Requirements
T1.1 Identify:
1) stakeholders who will use the outputs of the system to make decisions, and
2) stakeholders who are subject to decisions informed by the system. Document these stakeholders using the Impact Assessment template.",org,,,Unfair decision-making due to lack of stakeholder consideration,The org must identify stakeholders who will use the system's outputs to make decisions and stakeholders who are subject to decisions informed by the system.,,when system outputs inform decision making by or about people,TRUE,attest_check,Impact Assessment,1
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001,org,,,Unfair decision-making due to lack of stakeholder consideration,The org must document the identified stakeholders using the Impact Assessment template.,,when system outputs inform decision making by or about people,TRUE,attest_check,Impact Assessment template,,2
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002,"Tags: Impact Assessment. T1.2 Design the system, including, when possible, the system UX, features, reporting functions, and educational
materials, so that stakeholders identified in requirement T1.1 can:
1) understand the system's intended uses,
2) interpret relevant system behavior effectively (i.e., in a way that supports informed decision making), and
3) remain aware of the possible tendency of over-relying on outputs produced by the system (""automation
bias""). For the two categories of stakeholders identified in requirement T1.1, document:
1) how the system design will support their understanding of the system's intended uses, and
2) how the system aids their ability to interpret relevant system responses, and
3) how the system design discourages automation bias. T1.3 Define and document the method to be used to evaluate whether each stakeholder who will make decisions
or be subject to decisions based on the behavior of the system can interpret the relevant system responses
reasonably well.",developer,,dev,automation bias,"The developer shall design the system, including its UX, features, reporting functions, and educational materials, to enable stakeholders to understand intended uses, interpret system behavior effectively, and remain aware of automation bias.",,,TRUE,repo_check; attest_check,,1
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002,"Tags: Impact Assessment. T1.2 Design the system, including, when possible, the system UX, features, reporting functions, and educational
materials, so that stakeholders identified in requirement T1.1 can:
1) understand the system's intended uses,
2) interpret relevant system behavior effectively (i.e., in a way that supports informed decision making), and
3) remain aware of the possible tendency of over-relying on outputs produced by the system (""automation
bias""). For the two categories of stakeholders identified in requirement T1.1, document:
1) how the system design will support their understanding of the system's intended uses, and
2) how the system aids their ability to interpret relevant system responses, and
3) how the system design discourages automation bias. T1.3 Define and document the method to be used to evaluate whether each stakeholder who will make decisions
or be subject to decisions based on the behavior of the system can interpret the relevant system responses
reasonably well.",org,,dev,automation bias,"The org shall document how the system design supports stakeholder understanding of intended uses, aids their ability to interpret system responses, and discourages automation bias.",,for identified stakeholder categories,TRUE,repo_check; attest_check,Impact Assessment,2
