span_id,text,scope.actor,scope.domain,scope.context,hazard,requirement,exceptions,conditions,is_testable,evidence_signals,evidence,rule_id
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0010,"(iii) Reproductive health care —
(A)
Prohibition. Subject to paragraphs (a)(5)(iii)(B) and (C) of this section, a covered entity or
business associate may not use or disclose protected health information for any of the
following activities:
(1)
To conduct a criminal, civil, or administrative investigation into any person for the
mere act of seeking, obtaining, providing, or facilitating reproductive health care. (2)
To impose criminal, civil, or administrative liability on any person for the mere act of
seeking, obtaining, providing, or facilitating reproductive health care. (3)
To identify any person for any purpose described in paragraphs (a)(5)(iii)(A)(1) or (2)
of this section.",org; business associate,null,regulated,Misuse of PHI for legal action related to reproductive care,An org or business associate shall not use or disclose protected health information to impose liability on any person for the mere act of engaging in reproductive health care.,subject to paragraphs (a)(5)(iii)(B) and (C) of this section,"for the purpose of imposing criminal, civil, or administrative liability on a person for seeking, obtaining, providing, or facilitating reproductive health care",TRUE,log_check; attest_check; config_check,null,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0010,"(iii) Reproductive health care —
(A)
Prohibition. Subject to paragraphs (a)(5)(iii)(B) and (C) of this section, a covered entity or
business associate may not use or disclose protected health information for any of the
following activities:
(1)
To conduct a criminal, civil, or administrative investigation into any person for the
mere act of seeking, obtaining, providing, or facilitating reproductive health care. (2)
To impose criminal, civil, or administrative liability on any person for the mere act of
seeking, obtaining, providing, or facilitating reproductive health care. (3)
To identify any person for any purpose described in paragraphs (a)(5)(iii)(A)(1) or (2)
of this section.",org; business associate,null,regulated,Misuse of PHI for legal action related to reproductive care,An org or business associate shall not use or disclose protected health information to identify any person for the purpose of investigation or imposing liability related to reproductive health care.,subject to paragraphs (a)(5)(iii)(B) and (C) of this section,for the purpose of identifying a person for an investigation or imposition of liability related to reproductive health care,TRUE,log_check; attest_check; config_check,null,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0011,"(B)
Rule of applicability. The prohibition at paragraph (a)(5)(iii)(A) of this section applies only
where the relevant activity is in connection with any person seeking, obtaining, providing,
or facilitating reproductive health care, and the covered entity or business associate that
received the request for protected health information has reasonably determined that one
or more of the following conditions exists:
(1)
The reproductive health care is lawful under the law of the state in which such health
care is provided under the circumstances in which it is provided. (2)
The reproductive health care is protected, required, or authorized by Federal law,
including the United States Constitution, under the circumstances in which such
health care is provided, regardless of the state in which it is provided. (3)
The presumption at paragraph (a)(5)(iii)(C) of this section applies.",org; business associate,null,regulated,unauthorized disclosure of reproductive health PHI,"The org or business associate is prohibited from using or disclosing the requested protected health information if it has reasonably determined that the care is lawful under state law, protected by Federal law, or a specific legal presumption applies.",null,upon receiving a request for protected health information related to reproductive health care,TRUE,attest_check; log_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0012,"(C)
Presumption. The reproductive health care provided by another person is presumed lawful
under paragraph (a)(5)(iii)(B)(1) or (2) of this section unless the covered entity or business
associate has any of the following:
(1)
Actual knowledge that the reproductive health care was not lawful under the
circumstances in which it was provided. (2)
Factual information supplied by the person requesting the use or disclosure of
protected health information that demonstrates a substantial factual basis that the
reproductive health care was not lawful under the specific circumstances in which it
was provided. (D)
Scope.",org; business associate,null,regulated,improper disclosure of reproductive health PHI,The org or business associate must presume that reproductive healthcare provided by another person is lawful when considering a request for the use or disclosure of protected health information.,the entity has actual knowledge that the reproductive health care was not lawful; the entity has factual information from the requester demonstrating a substantial factual basis that the care was not lawful,null,TRUE,log_check; attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0013,"For the purposes of this subpart, seeking, obtaining, providing, or facilitating
reproductive health care includes, but is not limited to, any of the following: expressing
interest in, using, performing, furnishing, paying for, disseminating information about,
arranging, insuring, administering, authorizing, providing coverage for, approving,
counseling about, assisting, or otherwise taking action to engage in reproductive health
care; or attempting any of the same. (b)
Standard: Minimum necessary — Minimum necessary applies. When using or disclosing protected health
information or when requesting protected health information from another covered entity or business
associate, a covered entity or business associate must make reasonable efforts to limit protected health
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.502(a)(5)(iii)",org; business associate,null,regulated,Excessive PHI collection,An org or business associate must make reasonable efforts to limit requests for protected health information to the minimum necessary to accomplish the intended purpose.,null,when requesting protected health information from another covered entity or business associate,TRUE,log_check; attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0013,"For the purposes of this subpart, seeking, obtaining, providing, or facilitating
reproductive health care includes, but is not limited to, any of the following: expressing
interest in, using, performing, furnishing, paying for, disseminating information about,
arranging, insuring, administering, authorizing, providing coverage for, approving,
counseling about, assisting, or otherwise taking action to engage in reproductive health
care; or attempting any of the same. (b)
Standard: Minimum necessary — Minimum necessary applies. When using or disclosing protected health
information or when requesting protected health information from another covered entity or business
associate, a covered entity or business associate must make reasonable efforts to limit protected health
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.502(a)(5)(iii)",org; business associate,null,regulated,Unauthorized PHI disclosure,An org or business associate must make reasonable efforts to limit the use or disclosure of protected health information to the minimum necessary to accomplish the intended purpose.,null,when using or disclosing protected health information,TRUE,log_check; config_check; access_check; data_check,null,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0014,"(2)
Minimum necessary does not apply. This requirement does not apply to:
(i)
Disclosures to or requests by a health care provider for treatment;
(ii)
Uses or disclosures made to the individual, as permitted under paragraph (a)(1)(i) of this
section or as required by paragraph (a)(2)(i) of this section;
(iii) Uses or disclosures made pursuant to an authorization under § 164.508;
(iv) Disclosures made to the Secretary in accordance with subpart C of part 160 of this subchapter;
(v)
Uses or disclosures that are required by law, as described by § 164.512(a); and
(vi) Uses or disclosures that are required for compliance with applicable requirements of this
subchapter. (c)
Standard: Uses and disclosures of protected health information subject to an agreed upon restriction. A
covered entity that has agreed to a restriction pursuant to § 164.522(a)(1) may not use or disclose the
protected health information covered by the restriction in violation of such restriction, except as otherwise
provided in § 164.522(a).",org,null,regulated,unauthorized PHI disclosure,An org that has agreed to a data use restriction may not use or disclose the protected health information covered by the restriction in violation of that restriction.,as otherwise provided in § 164.522(a),agreed to a restriction pursuant to § 164.522(a)(1),TRUE,log_check; config_check; attest_check,data use restriction agreement,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0015,"(d)
Standard: Uses and disclosures of de-identified protected health information —
(1)
Uses and disclosures to create de-identified information. A covered entity may use protected health
information to create information that is not individually identifiable health information or disclose
protected health information only to a business associate for such purpose, whether or not the deidentified information is to be used by the covered entity. (2)
Uses and disclosures of de-identified information. Health information that meets the standard and
implementation specifications for de-identification under § 164.514(a) and (b) is considered not to
be individually identifiable health information, i.e., de-identified.",org; business associate,null,regulated,Unauthorized PHI disclosure,An org shall only disclose protected health information for the purpose of de-identification to a business associate.,null,when disclosing protected health information for de-identification purposes,TRUE,log_check; attest_check; config_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0016,"The requirements of this subpart do
not apply to information that has been de-identified in accordance with the applicable requirements
of § 164.514, provided that:
(i)
Disclosure of a code or other means of record identification designed to enable coded or
otherwise de-identified information to be re-identified constitutes disclosure of protected health
information; and
(ii)
If de-identified information is re-identified, a covered entity may use or disclose such reidentified information only as permitted or required by this subpart. (e)
(1)
Standard: Disclosures to business associates. (i)
A covered entity may disclose protected health information to a business associate and may
allow a business associate to create, receive, maintain, or transmit protected health information
on its behalf, if the covered entity obtains satisfactory assurance that the business associate
will appropriately safeguard the information. A covered entity is not required to obtain such
satisfactory assurances from a business associate that is a subcontractor.
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.502(b)(2)",org; business associate,null,regulated,Unauthorized PHI disclosure to a third party,"An org must obtain satisfactory assurance that a business associate will appropriately safeguard protected health information before disclosing PHI to the business associate or allowing them to create, receive, maintain, or transmit PHI on the org's behalf.",for a business associate that is a subcontractor,before disclosing PHI to a business associate,TRUE,attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0017,"(ii)
A business associate may disclose protected health information to a business associate that is
a subcontractor and may allow the subcontractor to create, receive, maintain, or transmit
protected health information on its behalf, if the business associate obtains satisfactory
assurances, in accordance with § 164.504(e)(1)(i), that the subcontractor will appropriately
safeguard the information. (2)
Implementation specification: Documentation. The satisfactory assurances required by paragraph
(e)(1) of this section must be documented through a written contract or other written agreement or
arrangement with the business associate that meets the applicable requirements of § 164.504(e). (f)
Standard: Deceased individuals.",business associate,null,null,Unauthorized PHI disclosure by subcontractor,A business associate must obtain satisfactory assurances that a subcontractor will appropriately safeguard protected health information.,null,"before disclosing PHI to a subcontractor; before allowing a subcontractor to create, receive, maintain, or transmit PHI; assurances must be in accordance with § 164.504(e)(1)(i)",TRUE,attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0017,"(ii)
A business associate may disclose protected health information to a business associate that is
a subcontractor and may allow the subcontractor to create, receive, maintain, or transmit
protected health information on its behalf, if the business associate obtains satisfactory
assurances, in accordance with § 164.504(e)(1)(i), that the subcontractor will appropriately
safeguard the information. (2)
Implementation specification: Documentation. The satisfactory assurances required by paragraph
(e)(1) of this section must be documented through a written contract or other written agreement or
arrangement with the business associate that meets the applicable requirements of § 164.504(e). (f)
Standard: Deceased individuals.",business associate,null,null,Inadequate contractual protection for PHI,A business associate must document satisfactory assurances from a subcontractor through a written contract or other written agreement.,null,when obtaining satisfactory assurances from a subcontractor; agreement must meet requirements of § 164.504(e),TRUE,attest_check,written contract with subcontractor; written agreement with subcontractor,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0018,"A covered entity must comply with the requirements of this subpart with
respect to the protected health information of a deceased individual for a period of 50 years following the
death of the individual. (g)
(1)
Standard: Personal representatives. As specified in this paragraph, a covered entity must, except as
provided in paragraphs (g)(3) and (g)(5) of this section, treat a personal representative as the
individual for purposes of this subchapter. (2)
Implementation specification: Adults and emancipated minors.",org,null,null,improper handling of deceased individual's PHI,A covered entity must comply with subpart requirements for the protected health information of a deceased individual for 50 years following the individual's death.,null,handling protected health information of a deceased individual,TRUE,data_check; access_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0018,"A covered entity must comply with the requirements of this subpart with
respect to the protected health information of a deceased individual for a period of 50 years following the
death of the individual. (g)
(1)
Standard: Personal representatives. As specified in this paragraph, a covered entity must, except as
provided in paragraphs (g)(3) and (g)(5) of this section, treat a personal representative as the
individual for purposes of this subchapter. (2)
Implementation specification: Adults and emancipated minors.",org,null,null,denial of legitimate access to PHI,A covered entity must treat a personal representative as the individual for purposes of this subchapter.,as provided in paragraphs (g)(3) and (g)(5) of this section,when processing requests related to an individual's data,TRUE,log_check; access_check,null,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0019,"If under applicable law a person has
authority to act on behalf of an individual who is an adult or an emancipated minor in making
decisions related to health care, a covered entity must treat such person as a personal
representative under this subchapter, with respect to protected health information relevant to such
personal representation. (3)
(i)
Implementation specification: Unemancipated minors. If under applicable law a parent, guardian,
or other person acting in loco parentis has authority to act on behalf of an individual who is an
unemancipated minor in making decisions related to health care, a covered entity must treat
such person as a personal representative under this subchapter, with respect to protected
health information relevant to such personal representation, except that such person may not
be a personal representative of an unemancipated minor, and the minor has the authority to act
as an individual, with respect to protected health information pertaining to a health care service,
if:
(A)
The minor consents to such health care service; no other consent to such health care
service is required by law, regardless of whether the consent of another person has also
been obtained; and the minor has not requested that such person be treated as the
personal representative;
(B)
The minor may lawfully obtain such health care service without the consent of a parent,
guardian, or other person acting in loco parentis, and the minor, a court, or another person
authorized by law consents to such health care service; or
(C)
A parent, guardian, or other person acting in loco parentis assents to an agreement of
confidentiality between a covered health care provider and the minor with respect to such
health care service. (ii)
Notwithstanding the provisions of paragraph (g)(3)(i) of this section:
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.502(e)(1)(ii)",org,null,regulated,Unauthorized PHI access,An org must treat a person as a personal representative for an adult or emancipated minor regarding relevant protected health information if that person has legal authority to make health care decisions for the individual.,null,person has legal authority to make health care decisions for an adult or emancipated minor,TRUE,access_check; attest_check; log_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0019,"If under applicable law a person has
authority to act on behalf of an individual who is an adult or an emancipated minor in making
decisions related to health care, a covered entity must treat such person as a personal
representative under this subchapter, with respect to protected health information relevant to such
personal representation. (3)
(i)
Implementation specification: Unemancipated minors. If under applicable law a parent, guardian,
or other person acting in loco parentis has authority to act on behalf of an individual who is an
unemancipated minor in making decisions related to health care, a covered entity must treat
such person as a personal representative under this subchapter, with respect to protected
health information relevant to such personal representation, except that such person may not
be a personal representative of an unemancipated minor, and the minor has the authority to act
as an individual, with respect to protected health information pertaining to a health care service,
if:
(A)
The minor consents to such health care service; no other consent to such health care
service is required by law, regardless of whether the consent of another person has also
been obtained; and the minor has not requested that such person be treated as the
personal representative;
(B)
The minor may lawfully obtain such health care service without the consent of a parent,
guardian, or other person acting in loco parentis, and the minor, a court, or another person
authorized by law consents to such health care service; or
(C)
A parent, guardian, or other person acting in loco parentis assents to an agreement of
confidentiality between a covered health care provider and the minor with respect to such
health care service. (ii)
Notwithstanding the provisions of paragraph (g)(3)(i) of this section:
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.502(e)(1)(ii)",org,null,regulated,Unauthorized PHI access,"An org must treat a parent, guardian, or person acting in loco parentis as a personal representative for an unemancipated minor regarding relevant protected health information if that person has legal authority to make health care decisions for the minor.",the minor consents to a health care service and no other consent is required by law; the minor may lawfully obtain the health care service without parental consent; a parent assents to a confidentiality agreement between the provider and the minor for the service,"parent, guardian, or person in loco parentis has legal authority for an unemancipated minor's health care decisions",TRUE,access_check; attest_check; log_check,null,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0019,"If under applicable law a person has
authority to act on behalf of an individual who is an adult or an emancipated minor in making
decisions related to health care, a covered entity must treat such person as a personal
representative under this subchapter, with respect to protected health information relevant to such
personal representation. (3)
(i)
Implementation specification: Unemancipated minors. If under applicable law a parent, guardian,
or other person acting in loco parentis has authority to act on behalf of an individual who is an
unemancipated minor in making decisions related to health care, a covered entity must treat
such person as a personal representative under this subchapter, with respect to protected
health information relevant to such personal representation, except that such person may not
be a personal representative of an unemancipated minor, and the minor has the authority to act
as an individual, with respect to protected health information pertaining to a health care service,
if:
(A)
The minor consents to such health care service; no other consent to such health care
service is required by law, regardless of whether the consent of another person has also
been obtained; and the minor has not requested that such person be treated as the
personal representative;
(B)
The minor may lawfully obtain such health care service without the consent of a parent,
guardian, or other person acting in loco parentis, and the minor, a court, or another person
authorized by law consents to such health care service; or
(C)
A parent, guardian, or other person acting in loco parentis assents to an agreement of
confidentiality between a covered health care provider and the minor with respect to such
health care service. (ii)
Notwithstanding the provisions of paragraph (g)(3)(i) of this section:
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.502(e)(1)(ii)",org,null,regulated,Violation of minor's privacy rights,"An org shall not treat a parent, guardian, or person acting in loco parentis as a personal representative for an unemancipated minor regarding a specific health care service if the minor has authority to act as an individual for that service.",null,the minor consents to a health care service and no other consent is required by law; the minor may lawfully obtain a health care service without parental consent; a parent assents to a confidentiality agreement between the provider and the minor for the service,TRUE,access_check; config_check; attest_check; log_check,null,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0020,"(A)
If, and to the extent, permitted or required by an applicable provision of State or other law,
including applicable case law, a covered entity may disclose, or provide access in
accordance with § 164.524 to, protected health information about an unemancipated
minor to a parent, guardian, or other person acting in loco parentis;
(B)
If, and to the extent, prohibited by an applicable provision of State or other law, including
applicable case law, a covered entity may not disclose, or provide access in accordance
with § 164.524 to, protected health information about an unemancipated minor to a
parent, guardian, or other person acting in loco parentis; and
(C)
Where the parent, guardian, or other person acting in loco parentis, is not the personal
representative under paragraphs (g)(3)(i)(A), (B), or (C) of this section and where there is
no applicable access provision under State or other law, including case law, a covered
entity may provide or deny access under § 164.524 to a parent, guardian, or other person
acting in loco parentis, if such action is consistent with State or other applicable law,
provided that such decision must be made by a licensed health care professional, in the
exercise of professional judgment. (4)
Implementation specification: Deceased individuals. If under applicable law an executor,
administrator, or other person has authority to act on behalf of a deceased individual or of the
individual's estate, a covered entity must treat such person as a personal representative under this
subchapter, with respect to protected health information relevant to such personal representation. (5)
Implementation specification: Abuse, neglect, endangerment situations.",org,null,regulated,improper PHI disclosure to a guardian,"An org shall not disclose or provide access to protected health information about an unemancipated minor to a parent, guardian, or other person acting in loco parentis when prohibited by applicable law.",null,prohibited by an applicable provision of State or other law,TRUE,config_check; attest_check,null,1
