span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
NIST AI RMF profiles_removed/map-4-1/sent_0003,True,spans-passthrough-candidates/sent_0003-f1416681,0.24074074074074073,True,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.167
NIST AI RMF profiles_removed/mp-4-1-010/sent_0001,True,spans-passthrough-candidates/sent_0001-a0f7497a,0.25,True,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25
NIST AI RMF profiles_removed/mp-4-1-010/sent_0002,True,spans-passthrough-candidates/sent_0002-67eea816,0.4010270774976657,True,False,False,False,False,False,True,True,True,False,0.5,0.0,0.0,0.0,0.0,1.0,0.824,1.0,0.286
NIST AI RMF profiles_removed/mp-4-1-010/sent_0003,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIST AI RMF profiles_removed/map-5-2/sent_0001,True,spans-passthrough-candidates/sent_0001-667855d2,0.4138528138528138,True,False,True,False,False,False,True,False,True,False,0.143,1.0,0.0,0.0,0.0,1.0,0.182,1.0,0.4
NIST AI RMF profiles_removed/map-5-2/sent_0002,True,spans-passthrough-candidates/sent_0002-9dfe6b47,0.4684095860566449,True,False,True,False,False,False,True,True,True,False,0.0,1.0,0.0,0.0,0.0,1.0,0.882,1.0,0.333
NIST AI RMF profiles_removed/map-5-2/sent_0003,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIST AI RMF profiles_removed/ms-1-1-006/sent_0001,True,spans-passthrough-candidates/sent_0001-54c4e43f,0.3039039039039039,True,False,False,False,False,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.135,1.0,0.6
NIST AI RMF profiles_removed/ms-1-1-006/sent_0002,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIST AI RMF profiles_removed/ms-1-1-006/sent_0003,True,spans-passthrough-candidates/sent_0003-35bf51c4,0.4920077972709552,True,False,True,False,False,False,True,True,True,False,0.333,1.0,0.0,0.0,0.0,1.0,0.895,1.0,0.2
NIST AI RMF profiles_removed/measure-2-2/sent_0001,True,spans-passthrough-candidates/sent_0001-ac634038,0.6422222222222222,True,True,True,True,False,False,True,False,True,False,1.0,1.0,1.0,0.0,0.3,1.0,0.08,1.0,0.4
NIST AI RMF profiles_removed/measure-2-2/sent_0002,True,MS-2.2-004,0.6343434343434343,True,True,True,False,False,False,True,True,True,True,1.0,1.0,0.0,0.0,0.0,1.0,0.909,1.0,0.8
NIST AI RMF profiles_removed/measure-2-2/sent_0003,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIST AI RMF profiles_removed/ms-2-3-004/sent_0001,True,spans-passthrough-candidates/sent_0001-7141b97f,0.25808348030570255,True,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.037,1.0,0.286
NIST AI RMF profiles_removed/ms-2-3-004/sent_0002,True,spans-passthrough-candidates/sent_0002-adbbc241,0.4074074074074074,True,False,False,False,False,True,True,True,False,True,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.667
NIST AI RMF profiles_removed/ms-2-3-004/sent_0003,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIST AI RMF profiles_removed/measure-2-6/sent_0001,True,spans-passthrough-candidates/sent_0001-094770dd,0.28086419753086417,True,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.028,1.0,0.5
NIST AI RMF profiles_removed/measure-2-6/sent_0002,True,spans-passthrough-candidates/sent_0002-38c20032,0.3102453102453102,True,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.364,1.0,0.429
NIST AI RMF profiles_removed/measure-2-6/sent_0003,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIST AI RMF profiles_removed/measure-2-7/sent_0001,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIST AI RMF profiles_removed/measure-2-7/sent_0002,True,spans-passthrough-candidates/sent_0002-829e50f9,0.29790660225442833,True,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.348,1.0,0.333
NIST AI RMF profiles_removed/measure-2-7/sent_0003,True,spans-passthrough-candidates/sent_0003-4a5f168f,0.3055555555555556,True,False,False,False,False,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75
NIST AI RMF profiles_removed/measure-2-7/sent_0004,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
