span_id,text,rule_id,scope.actor,scope.domain,scope.context,hazard,requirement,exceptions,conditions,is_testable,evidence_signals,evidence
NIST AI RMF profiles_removed/gv-6-2-003/sent_0002,"Information Integrity
GV-6.2-007
Review vendor contracts and avoid arbitrary or capricious termination of critical
GAI technologies or vendor services and non-standard terms that may amplify or
defer liability in unexpected ways and/or contribute to unauthorized data
collection by vendors or third-parties (e.g., secondary data use). Consider: Clear
assignment of liability and responsibility for incidents, GAI system changes over
time (e.g., fine-tuning, drift, decay); Request: Notification and disclosure for
serious incidents arising from third-party data and systems; Service Level
Agreements (SLAs) in vendor contracts that address incident response, response
times, and availability of critical support. Human-AI Configuration;
Information Security; Value Chain
and Component Integration
AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities
MAP 1.1: Intended purposes, potentially beneficial uses, context specific laws, norms and expectations, and prospective settings in
which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users
along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations,
society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or
product AI lifecycle; and related TEVV and system metrics.",5,org,[],[],service unavailability,"org must include Service Level Agreements in vendor contracts that address incident response, response times, and availability of critical support.",[],"vendor contracts, critical support for GAI technologies",TRUE,"config_check, attest_check",[]
NIST AI RMF profiles_removed/gv-6-2-003/sent_0003,"Action ID
Suggested Action
GAI Risks
MP-1.1-001
When identifying intended purposes, consider factors such as internal vs.
external use, narrow vs. broad application scope, fine-tuning, and varieties of
data sources (e.g., grounding, retrieval-augmented generation). Data Privacy; Intellectual
Property",-,-,-,-,-,-,-,-,-,-,-
NIST AI RMF profiles_removed/mp-1-1-002/sent_0001,"MP-1.1-002
Determine and document the expected and acceptable GAI system context of
use in collaboration with socio-cultural and other domain experts, by assessing:
Assumptions and limitations; Direct value to the organization; Intended
operational environment and observed usage patterns; Potential positive and
negative impacts to individuals, public safety, groups, communities,
organizations, democratic institutions, and the physical environment; Social
norms and expectations. Harmful Bias and Homogenization
MP-1.1-003
Document risk measurement plans to address identified risks. Plans may
include, as applicable: Individual and group cognitive biases (e.g., confirmation
bias, funding bias, groupthink) for AI Actors involved in the design,
implementation, and use of GAI systems; Known past GAI system incidents and
failure modes; In-context use and foreseeable misuse, abuse, and off-label use;
Over reliance on quantitative metrics and methodologies without sufficient
awareness of their limitations in the context(s) of use; Standard measurement
and structured human feedback approaches; Anticipated human-AI
configurations. Human-AI Configuration; Harmful
Bias and Homogenization;
Dangerous, Violent, or Hateful
Content
MP-1.1-004
Identify and document foreseeable illegal uses or applications of the GAI system
that surpass organizational risk tolerances.",1,org,[],[],biased or homogenized outputs in unsuitable contexts,org must determine and document the expected and acceptable GAI system context of use in collaboration with domain experts.,[],when determining context of use,TRUE,"attest_check, config_check",[]
NIST AI RMF profiles_removed/mp-1-1-002/sent_0001,"MP-1.1-002
Determine and document the expected and acceptable GAI system context of
use in collaboration with socio-cultural and other domain experts, by assessing:
Assumptions and limitations; Direct value to the organization; Intended
operational environment and observed usage patterns; Potential positive and
negative impacts to individuals, public safety, groups, communities,
organizations, democratic institutions, and the physical environment; Social
norms and expectations. Harmful Bias and Homogenization
MP-1.1-003
Document risk measurement plans to address identified risks. Plans may
include, as applicable: Individual and group cognitive biases (e.g., confirmation
bias, funding bias, groupthink) for AI Actors involved in the design,
implementation, and use of GAI systems; Known past GAI system incidents and
failure modes; In-context use and foreseeable misuse, abuse, and off-label use;
Over reliance on quantitative metrics and methodologies without sufficient
awareness of their limitations in the context(s) of use; Standard measurement
and structured human feedback approaches; Anticipated human-AI
configurations. Human-AI Configuration; Harmful
Bias and Homogenization;
Dangerous, Violent, or Hateful
Content
MP-1.1-004
Identify and document foreseeable illegal uses or applications of the GAI system
that surpass organizational risk tolerances.",2,org,[],[],dangerous or hateful outputs,org must document risk measurement plans to address identified risks.,[],identified risks exist,TRUE,"attest_check, config_check",[]
NIST AI RMF profiles_removed/mp-1-1-002/sent_0001,"MP-1.1-002
Determine and document the expected and acceptable GAI system context of
use in collaboration with socio-cultural and other domain experts, by assessing:
Assumptions and limitations; Direct value to the organization; Intended
operational environment and observed usage patterns; Potential positive and
negative impacts to individuals, public safety, groups, communities,
organizations, democratic institutions, and the physical environment; Social
norms and expectations. Harmful Bias and Homogenization
MP-1.1-003
Document risk measurement plans to address identified risks. Plans may
include, as applicable: Individual and group cognitive biases (e.g., confirmation
bias, funding bias, groupthink) for AI Actors involved in the design,
implementation, and use of GAI systems; Known past GAI system incidents and
failure modes; In-context use and foreseeable misuse, abuse, and off-label use;
Over reliance on quantitative metrics and methodologies without sufficient
awareness of their limitations in the context(s) of use; Standard measurement
and structured human feedback approaches; Anticipated human-AI
configurations. Human-AI Configuration; Harmful
Bias and Homogenization;
Dangerous, Violent, or Hateful
Content
MP-1.1-004
Identify and document foreseeable illegal uses or applications of the GAI system
that surpass organizational risk tolerances.",3,org,[],[],organizational legal liability,org must identify and document foreseeable illegal uses or applications of the GAI system.,[],surpasses organizational risk tolerances,TRUE,"attest_check, config_check",[]
NIST AI RMF profiles_removed/mp-1-1-002/sent_0002,"CBRN Information or Capabilities;
Dangerous, Violent, or Hateful
Content; Obscene, Degrading,
and/or Abusive Content
AI Actor Tasks: AI Deployment
MAP 1.2: Interdisciplinary AI Actors, competencies, skills, and capacities for establishing context reflect demographic diversity and
broad domain and user experience expertise, and their participation is documented. Opportunities for interdisciplinary
collaboration are prioritized. Action ID
Suggested Action
GAI Risks
MP-1.2-001
Establish and empower interdisciplinary teams that reflect a wide range of
capabilities, competencies, demographic groups, domain expertise, educational
backgrounds, lived experiences, professions, and skills across the enterprise to
inform and conduct risk measurement and management functions. Human-AI Configuration; Harmful
Bias and Homogenization
MP-1.2-002
Verify that data or benchmarks used in risk measurement, and users,
participants, or subjects involved in structured GAI public feedback exercises
are representative of diverse in-context user populations.",1,org,[],[],biased system behavior,org must establish and empower interdisciplinary teams that reflect a wide range of diversity to inform and conduct risk measurement and management functions.,[],establishing risk management functions,TRUE,"attest_check, config_check",[]
NIST AI RMF profiles_removed/mp-1-1-002/sent_0002,"CBRN Information or Capabilities;
Dangerous, Violent, or Hateful
Content; Obscene, Degrading,
and/or Abusive Content
AI Actor Tasks: AI Deployment
MAP 1.2: Interdisciplinary AI Actors, competencies, skills, and capacities for establishing context reflect demographic diversity and
broad domain and user experience expertise, and their participation is documented. Opportunities for interdisciplinary
collaboration are prioritized. Action ID
Suggested Action
GAI Risks
MP-1.2-001
Establish and empower interdisciplinary teams that reflect a wide range of
capabilities, competencies, demographic groups, domain expertise, educational
backgrounds, lived experiences, professions, and skills across the enterprise to
inform and conduct risk measurement and management functions. Human-AI Configuration; Harmful
Bias and Homogenization
MP-1.2-002
Verify that data or benchmarks used in risk measurement, and users,
participants, or subjects involved in structured GAI public feedback exercises
are representative of diverse in-context user populations.",2,org,[],[],inaccurate risk measurement,"org must verify that data, benchmarks, and participants in structured GAI public feedback exercises are representative of diverse in-context user populations.",[],"risk measurement data/benchmarks, structured public feedback participants, in-context user populations",TRUE,"data_check, attest_check",[]
NIST AI RMF profiles_removed/mp-1-1-002/sent_0003,"Human-AI Configuration; Harmful
Bias and Homogenization
AI Actor Tasks: AI Deployment",-,-,-,-,-,-,-,-,-,-,-
NIST AI RMF profiles_removed/map-2-1/sent_0001,"MAP 2.1: The specific tasks and methods used to implement the tasks that the AI system will support are defined (e.g., classifiers,
generative models, recommenders). Action ID
Suggested Action
GAI Risks
MP-2.1-001
Establish known assumptions and practices for determining data origin and
content lineage, for documentation and evaluation purposes. Information Integrity
MP-2.1-002
Institute test and evaluation for data and content flows within the GAI system,
including but not limited to, original data sources, data transformations, and
decision-making criteria. Intellectual Property; Data Privacy
AI Actor Tasks: TEVV
MAP 2.2: Information about the AI system's knowledge limits and how system output may be utilized and overseen by humans is
documented.",1,org,[],[],undocumented data provenance and content lineage,org must establish and document assumptions and practices to determine data origin and content lineage for documentation and evaluation purposes.,[],for documentation and evaluation purposes,TRUE,"config_check, repo_check, data_check, attest_check",[]
NIST AI RMF profiles_removed/map-2-1/sent_0001,"MAP 2.1: The specific tasks and methods used to implement the tasks that the AI system will support are defined (e.g., classifiers,
generative models, recommenders). Action ID
Suggested Action
GAI Risks
MP-2.1-001
Establish known assumptions and practices for determining data origin and
content lineage, for documentation and evaluation purposes. Information Integrity
MP-2.1-002
Institute test and evaluation for data and content flows within the GAI system,
including but not limited to, original data sources, data transformations, and
decision-making criteria. Intellectual Property; Data Privacy
AI Actor Tasks: TEVV
MAP 2.2: Information about the AI system's knowledge limits and how system output may be utilized and overseen by humans is
documented.",2,org,[],[],uncontrolled data and content flows,"org must institute test and evaluation of data and content flows within the GAI system, including original data sources, data transformations, and decision-making criteria.",[],within the GAI system,TRUE,"data_check, log_check, config_check, ci_gate",[]
NIST AI RMF profiles_removed/map-2-1/sent_0002,"Documentation provides sufficient information to assist relevant AI Actors when making decisions and taking
subsequent actions. Action ID
Suggested Action
GAI Risks
MP-2.2-001
Identify and document how the system relies on upstream data sources,
including for content provenance, and if it serves as an upstream dependency for
other systems. Information Integrity; Value Chain
and Component Integration
MP-2.2-002
Observe and analyze how the GAI system interacts with external networks, and
identify any potential for negative externalities, particularly where content
provenance might be compromised. Information Integrity
AI Actor Tasks: End Users
MAP 2.3: Scientific integrity and TEVV considerations are identified and documented, including those related to experimental
design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct
validation
Action ID
Suggested Action
GAI Risks
MP-2.3-001
Assess the accuracy, quality, reliability, and authenticity of GAI output by
comparing it to a set of known ground truth data and by using a variety of
evaluation methods (e.g., human oversight and automated evaluation, proven
cryptographic techniques, review of content inputs).",1,org,,,unknown upstream dependencies,"org must identify and document how the system relies on upstream data sources, including content provenance, and whether it serves as an upstream dependency for other systems.",,,TRUE,"data_check, repo_check, config_check, attest_check",[]
NIST AI RMF profiles_removed/map-2-1/sent_0002,"Documentation provides sufficient information to assist relevant AI Actors when making decisions and taking
subsequent actions. Action ID
Suggested Action
GAI Risks
MP-2.2-001
Identify and document how the system relies on upstream data sources,
including for content provenance, and if it serves as an upstream dependency for
other systems. Information Integrity; Value Chain
and Component Integration
MP-2.2-002
Observe and analyze how the GAI system interacts with external networks, and
identify any potential for negative externalities, particularly where content
provenance might be compromised. Information Integrity
AI Actor Tasks: End Users
MAP 2.3: Scientific integrity and TEVV considerations are identified and documented, including those related to experimental
design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct
validation
Action ID
Suggested Action
GAI Risks
MP-2.3-001
Assess the accuracy, quality, reliability, and authenticity of GAI output by
comparing it to a set of known ground truth data and by using a variety of
evaluation methods (e.g., human oversight and automated evaluation, proven
cryptographic techniques, review of content inputs).",2,org,,,provenance compromise via external interactions,"org must observe and analyze the GAI system’s interactions with external networks and identify any potential for negative externalities, particularly where content provenance might be compromised.",,external network interactions,TRUE,"log_check, config_check, data_check, io_check",[]
NIST AI RMF profiles_removed/map-2-1/sent_0002,"Documentation provides sufficient information to assist relevant AI Actors when making decisions and taking
subsequent actions. Action ID
Suggested Action
GAI Risks
MP-2.2-001
Identify and document how the system relies on upstream data sources,
including for content provenance, and if it serves as an upstream dependency for
other systems. Information Integrity; Value Chain
and Component Integration
MP-2.2-002
Observe and analyze how the GAI system interacts with external networks, and
identify any potential for negative externalities, particularly where content
provenance might be compromised. Information Integrity
AI Actor Tasks: End Users
MAP 2.3: Scientific integrity and TEVV considerations are identified and documented, including those related to experimental
design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct
validation
Action ID
Suggested Action
GAI Risks
MP-2.3-001
Assess the accuracy, quality, reliability, and authenticity of GAI output by
comparing it to a set of known ground truth data and by using a variety of
evaluation methods (e.g., human oversight and automated evaluation, proven
cryptographic techniques, review of content inputs).",3,evaluator,,,inaccurate or inauthentic output,"evaluator must assess the accuracy, quality, reliability, and authenticity of GAI output by comparing it to known ground truth and using a variety of evaluation methods.",,comparison against known ground truth,TRUE,"io_check, data_check, log_check, config_check, ci_gate",[]
NIST AI RMF profiles_removed/map-2-1/sent_0003,Information Integrity,-,-,-,-,-,-,-,-,-,-,[]
NIST AI RMF profiles_removed/mp-2-3-002/sent_0001,"MP-2.3-002 Review and document accuracy, representativeness, relevance, suitability of data
used at different stages of AI life cycle. Harmful Bias and Homogenization;
Intellectual Property
MP-2.3-003
Deploy and document fact-checking techniques to verify the accuracy and
veracity of information generated by GAI systems, especially when the
information comes from multiple (or unknown) sources. Information Integrity
MP-2.3-004 Develop and implement testing techniques to identify GAI produced content (e.g.,
synthetic media) that might be indistinguishable from human-generated content. Information Integrity
MP-2.3-005 Implement plans for GAI systems to undergo regular adversarial testing to identify
vulnerabilities and potential manipulation or misuse.",1,org,,,harmful bias from low-quality data,"org must review the accuracy, representativeness, relevance, and suitability of data used at different stages of the AI lifecycle.",,at different stages of the AI lifecycle,TRUE,"data_check, repo_check, config_check, attest_check",[]
NIST AI RMF profiles_removed/mp-2-3-002/sent_0001,"MP-2.3-002 Review and document accuracy, representativeness, relevance, suitability of data
used at different stages of AI life cycle. Harmful Bias and Homogenization;
Intellectual Property
MP-2.3-003
Deploy and document fact-checking techniques to verify the accuracy and
veracity of information generated by GAI systems, especially when the
information comes from multiple (or unknown) sources. Information Integrity
MP-2.3-004 Develop and implement testing techniques to identify GAI produced content (e.g.,
synthetic media) that might be indistinguishable from human-generated content. Information Integrity
MP-2.3-005 Implement plans for GAI systems to undergo regular adversarial testing to identify
vulnerabilities and potential manipulation or misuse.",2,org,,,harmful bias from low-quality data,"org must document the accuracy, representativeness, relevance, and suitability of data used at different stages of the AI lifecycle.",,at different stages of the AI lifecycle,TRUE,"data_check, repo_check, config_check, attest_check",[]
NIST AI RMF profiles_removed/mp-2-3-002/sent_0001,"MP-2.3-002 Review and document accuracy, representativeness, relevance, suitability of data
used at different stages of AI life cycle. Harmful Bias and Homogenization;
Intellectual Property
MP-2.3-003
Deploy and document fact-checking techniques to verify the accuracy and
veracity of information generated by GAI systems, especially when the
information comes from multiple (or unknown) sources. Information Integrity
MP-2.3-004 Develop and implement testing techniques to identify GAI produced content (e.g.,
synthetic media) that might be indistinguishable from human-generated content. Information Integrity
MP-2.3-005 Implement plans for GAI systems to undergo regular adversarial testing to identify
vulnerabilities and potential manipulation or misuse.",3,org,,,misinformation in GAI outputs,org must deploy fact-checking techniques to verify the accuracy and veracity of information generated by GAI systems.,,"outputs come from multiple sources, outputs come from unknown sources",TRUE,"io_check, log_check, config_check, attest_check",[]
NIST AI RMF profiles_removed/mp-2-3-002/sent_0001,"MP-2.3-002 Review and document accuracy, representativeness, relevance, suitability of data
used at different stages of AI life cycle. Harmful Bias and Homogenization;
Intellectual Property
MP-2.3-003
Deploy and document fact-checking techniques to verify the accuracy and
veracity of information generated by GAI systems, especially when the
information comes from multiple (or unknown) sources. Information Integrity
MP-2.3-004 Develop and implement testing techniques to identify GAI produced content (e.g.,
synthetic media) that might be indistinguishable from human-generated content. Information Integrity
MP-2.3-005 Implement plans for GAI systems to undergo regular adversarial testing to identify
vulnerabilities and potential manipulation or misuse.",4,org,,,misinformation in GAI outputs,org must document the fact-checking techniques used to verify the accuracy and veracity of information generated by GAI systems.,,"outputs come from multiple sources, outputs come from unknown sources",TRUE,"repo_check, config_check, attest_check",[]
