span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0003,True,spans-passthrough-candidates/sent_0003-1fe14e8e,0.32101558572146804,True,False,True,False,False,False,True,False,False,False,0.1,1.0,0.0,0.0,0.154,1.0,0.235,0.0,0.4
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,True,spans-passthrough-candidates/sent_0001-e88f5a4e,0.5569800569800569,True,False,True,False,False,True,True,True,True,False,0.167,1.0,0.0,0.0,1.0,1.0,0.846,0.667,0.333
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002,True,spans-passthrough-candidates/sent_0002-9f3419d2,0.36,True,False,False,False,True,False,True,False,False,True,0.0,0.0,0.0,1.0,0.0,1.0,0.24,0.333,0.667
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,True,spans-passthrough-candidates/sent_0003-795af2a8,0.5740740740740741,True,False,True,False,False,True,True,True,False,True,0.167,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,True,spans-passthrough-candidates/sent_0004-154aa499,0.44223985890652556,True,False,True,False,False,False,True,False,True,False,0.111,1.0,0.0,0.0,0.0,1.0,0.583,1.0,0.286
Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001,True,spans-passthrough-candidates/sent_0001-af343ce6,0.1111111111111111,True,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002,True,spans-passthrough-candidates/sent_0002-9adc3bc9,0.24074074074074078,True,False,False,False,False,False,True,False,False,False,0.167,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003,True,spans-passthrough-candidates/sent_0003-cb44499e,0.5086419753086421,True,False,True,False,True,False,True,True,False,True,0.0,1.0,0.0,1.0,0.111,1.0,0.8,0.0,0.667
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0006,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002,True,spans-passthrough-candidates/sent_0002-d5bf2a8a,0.3039591315453384,True,False,True,False,False,False,True,False,False,True,0.0,1.0,0.0,0.0,0.0,1.0,0.069,0.0,0.667
Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003,True,spans-passthrough-candidates/sent_0003-79956415,0.4171075837742504,True,False,True,False,False,True,True,False,False,False,0.333,1.0,0.0,0.0,0.778,1.0,0.31,0.0,0.333
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0001,True,spans-passthrough-candidates/sent_0001-1c1efb32,0.37280701754385964,True,False,True,False,False,False,False,True,True,False,0.0,1.0,0.0,0.0,0.105,0.0,1.0,1.0,0.25
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002,True,spans-passthrough-candidates/sent_0002-7521efcb,0.5481481481481482,True,False,True,False,False,False,True,True,True,True,0.1,1.0,0.0,0.0,0.0,1.0,0.833,1.0,1.0
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0003,True,spans-passthrough-candidates/sent_0003-20059d11,0.3804713804713804,True,False,False,False,True,False,True,False,False,False,0.333,0.0,0.0,1.0,0.0,1.0,0.591,0.0,0.5
Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004,True,spans-passthrough-candidates/sent_0004-0c3a07c1,0.2986111111111111,True,False,False,False,False,True,True,False,False,False,0.0,0.0,0.0,0.0,1.0,1.0,0.188,0.0,0.5
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0001,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0002,True,spans-passthrough-candidates/sent_0002-12754d56,0.21746031746031746,True,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0,0.0,0.0,1.0,0.357,0.0,0.6
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0003,True,spans-passthrough-candidates/sent_0003-ad23056b,0.3485380116959064,True,False,True,False,False,False,True,True,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.737,0.0,0.4
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0004,True,spans-passthrough-candidates/sent_0004-308eb945,0.2628434886499403,True,False,False,False,True,False,True,False,False,False,0.0,0.0,0.0,1.0,0.0,1.0,0.032,0.0,0.333
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0006,True,spans-passthrough-candidates/sent_0006-3cd51c83,0.4159544159544159,True,False,True,False,True,False,True,False,False,True,0.0,1.0,0.0,1.0,0.0,1.0,0.077,0.0,0.667
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0007,True,spans-passthrough-candidates/sent_0007-d80c8fa9,0.37962962962962965,True,False,True,False,False,True,True,False,False,False,0.167,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0008,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0009,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0001,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0002,True,spans-passthrough-candidates/sent_0002-0f4a4065,0.2777777777777778,True,False,False,False,False,True,True,False,False,False,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25
Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0003,True,spans-passthrough-candidates/sent_0003-98dd2746,0.46403133903133903,True,False,True,False,True,False,True,False,False,True,0.125,1.0,0.0,1.0,0.0,1.0,0.385,0.0,0.667
Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0004,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0005,True,spans-passthrough-candidates/sent_0005-46fb9b54,0.4592592592592592,True,False,True,False,False,True,True,False,False,False,0.4,1.0,0.0,0.0,1.0,1.0,0.4,0.0,0.333
Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0006,True,spans-passthrough-candidates/sent_0006-5dc1a309,0.3968253968253968,True,False,False,False,True,False,True,False,True,False,0.0,0.0,0.0,1.0,0.0,1.0,0.571,1.0,0.0
Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0007,True,spans-passthrough-candidates/sent_0007-6ad640d0,0.13760683760683762,True,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.038,0.0,0.2
Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0001,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0002,True,spans-passthrough-candidates/sent_0002-613e06d7,0.40555555555555556,True,False,True,False,False,False,True,True,False,False,0.4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25
Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0003,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0004,True,spans-passthrough-candidates/sent_0004-6dd75ec5,0.4285714285714286,True,False,True,False,False,False,True,False,True,False,0.0,1.0,0.0,0.0,0.0,1.0,0.357,1.0,0.5
Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0005,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0001,True,spans-passthrough-candidates/sent_0001-c3e51116,0.7158730158730159,True,False,True,False,True,False,True,True,True,True,0.143,1.0,0.0,1.0,0.3,1.0,1.0,1.0,1.0
Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0002,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0003,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0004,True,spans-passthrough-candidates/sent_0004-ddb80f30,0.6974658869395711,True,False,True,False,True,True,True,False,True,True,0.4,1.0,0.0,1.0,1.0,1.0,0.211,1.0,0.667
Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0005,True,spans-passthrough-candidates/sent_0005-568907cb,0.4285714285714286,True,False,False,False,False,True,True,False,True,False,0.0,0.0,0.0,0.0,1.0,1.0,0.357,1.0,0.5
Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0006,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0007,True,spans-passthrough-candidates/sent_0007-5ba5dc5c,0.27078189300411526,True,False,False,False,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.067,1.0,0.037,1.0,0.333
Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0001,True,spans-passthrough-candidates/sent_0001-cc7c8f75,0.4947089947089947,True,False,True,False,False,False,True,True,True,True,0.333,1.0,0.0,0.0,0.0,1.0,0.786,0.667,0.667
Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0002,True,spans-passthrough-candidates/sent_0002-63df3c65,0.2546296296296296,True,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0,0.0,0.5,1.0,0.125,0.0,0.667
Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0003,True,spans-passthrough-candidates/sent_0003-1b053c87,0.4695767195767196,True,False,True,False,False,True,True,False,False,False,0.143,1.0,0.0,0.0,1.0,1.0,0.583,0.0,0.5
Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0004,True,spans-passthrough-candidates/sent_0004-4b83e5b1,0.30370370370370364,True,False,True,False,False,False,True,False,False,True,0.0,1.0,0.0,0.0,0.0,1.0,0.067,0.0,0.667
Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0001,True,spans-passthrough-candidates/sent_0001-ac909441,0.4012345679012346,True,False,True,False,False,False,True,False,False,True,0.5,1.0,0.0,0.0,0.0,1.0,0.444,0.0,0.667
Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0002,True,spans-passthrough-candidates/sent_0002-fc63db5c,0.19990503323836656,True,False,False,False,False,False,True,False,False,False,0.333,0.0,0.0,0.0,0.077,1.0,0.056,0.0,0.333
Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0003,True,spans-passthrough-candidates/sent_0003-6692197d,0.3029100529100529,True,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.143,1.0,0.083,0.0,0.5
Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0004,True,spans-passthrough-candidates/sent_0004-58754acf,0.27483660130718957,True,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.353,1.0,0.471,0.25,0.4
Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0005,True,spans-passthrough-candidates/sent_0005-309f3a62,0.320479302832244,True,False,True,False,False,False,True,False,False,True,0.0,1.0,0.0,0.0,0.1,1.0,0.118,0.0,0.667
Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0006,True,spans-passthrough-candidates/sent_0006-5032a81d,0.5830687830687831,True,False,True,False,False,True,True,True,True,False,0.2,1.0,0.0,0.0,0.714,1.0,1.0,1.0,0.333
Microsoft/index/privacy-security-goals/goal-ps2-security-policy-compliance/sent_0001,True,spans-passthrough-candidates/sent_0001-b0a55d9e,0.3476190476190476,True,False,False,False,False,True,True,True,False,False,0.0,0.0,0.0,0.0,0.8,1.0,0.9,0.0,0.429
Microsoft/index/inclusiveness-goal/goal-i1-accessibility-standards-compliance/sent_0001,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
